Name	Division	Center	Prep	Yr	RF	RFF	RFS	RO	RS	ST	PN	PDAS	PD	CR	IV	TM	JR	PT	AD	EQ
Name	Division	Center	Prep	0	1	1	1	1	1	1	1	2	2	3	3	3	3	3	4	4
Math	0	0	0	6	17.5	12	31	8.5	17.5	15	13.5	10	11	19.5	16.5	11.5	10	10.5	8	19
Phys	0	0	0	2.5	29	3	26	8.5	22	21.5	27	30	31	19.5	5.5	31	26	24	22	28
Chem	0	0	0	2.5	15	9	17	25.5	7.5	23.5	15	15	29	6.5	5.5	29	22	30	19	22
Eart	0	0	0	12.5	23	8	20	27	28	29	28	21.5	17.5	19.5	16.5	21	15	10.5	11	17
Info	0	0	0	12.5	27.5	5	21	8.5	22	12.5	24	23.5	26	19.5	25	23	26	26	26	20
Stat	0	0	0	14	26	10	18	20	7.5	18.5	23	3.5	11	19.5	25	11.5	15	10.5	14	11
Atom	0	0	0	18	17.5	4	30	8.5	7.5	28	19.5	27.5	27	6.5	29	30	26	27	25	27
Astr	0	0	1	16	13.5	7	3.5	24	29.5	4	16.5	26	20	19.5	16.5	13	3.5	10.5	30	31
Appl	0	1	0	26	7.5	1.5	2	8.5	17.5	4	8	10	8	29	5.5	5.5	10	22	15	24
Envi	0	1	0	26	5	6	6	8.5	7.5	4	2	18.5	2.5	19.5	5.5	5.5	10	10.5	13	15
Inno	0	1	0	31	1	16	1	8.5	22	18.5	3.5	10	1	19.5	5.5	1.5	3.5	10.5	27	25
Plan	1	0	0	5	21	25	11.5	25.5	26.5	25	25	18.5	25	29	25	22	10	25	24	16
Cell	1	0	0	7	10	21	15	8.5	24	23.5	11.5	27.5	24	19.5	5.5	24	10	23	16	9
BiCm	1	0	0	11	11	24	22	29	17.5	18.5	18	23.5	23	19.5	25	25.5	23.5	21	20	18
MoBi	1	0	0	16	24	28	27	30	26.5	15	29	31	30	29	31	25.5	31	31	28	23
Biom	1	0	0	16	31	22	25	31	29.5	30	31	29	28	6.5	30	28	30	29	31	26
Agri	1	1	0	30	3.5	17.5	10	8.5	25	4	6	15	22	29	16.5	5.5	19	28	18	30
Geno	1	1	0	22	13.5	14	5	8.5	31	11	21.5	25	21	29	28	9.5	10	10.5	29	29
Biod	1	1	0	26	9	11	29	20	7.5	7.5	9	15	19	19.5	16.5	19.5	3.5	10.5	17	5
Hist	2	0	0	2.5	30	15	28	28	17.5	31	30	18.5	17.5	6.5	16.5	27	29	10.5	23	21
Ethn	2	0	0	2.5	17.5	29	7	20	17.5	26	19.5	10	14	19.5	5.5	19.5	15	10.5	9	7
Mode	2	0	0	8	27.5	30	13	20	7.5	27	26	3.5	15.5	6.5	16.5	15	19	10.5	12	10
Econ	2	0	0	9	25	13	24	20	7.5	18.5	21.5	3.5	6	19.5	25	9.5	23.5	10.5	10	13
Euro	2	0	0	10	21	20	19	20	7.5	21.5	16.5	10	5	6.5	16.5	5.5	19	10.5	7	14
Chin	2	0	0	20.5	17.5	26	8	8.5	7.5	15	11.5	21.5	11	19.5	16.5	16	28	10.5	4	8
Taiw	2	0	0	26	6	27	9	20	7.5	7.5	6	10	7	6.5	5.5	14	3.5	10.5	3	4
Soci	2	0	0	19	12	19	16	8.5	7.5	9.5	10	10	15.5	6.5	16.5	17	19	10.5	6	6
Ling	2	0	0	26	7.5	31	23	8.5	7.5	4	6	18.5	9	6.5	16.5	18	10	10.5	5	3
Poli	2	0	1	20.5	2	1.5	14	8.5	7.5	1	1	3.5	4	6.5	5.5	5.5	3.5	10.5	1	1
Iuri	2	0	1	26	3.5	17.5	3.5	8.5	7.5	9.5	3.5	3.5	2.5	6.5	16.5	1.5	3.5	10.5	2	2
Huma	2	1	0	26	21	23	11.5	8.5	17.5	12.5	13.5	3.5	13	6.5	5.5	5.5	19	10.5	21	12
