name	Fellow	PostDoc	Total	No.	Price	2013-JCR Impact Factor	2012Download	2013Download	2014Download	Chun-Houh Chen	Jeng-Min Chiou	Hsien-Kuei Hwang	Michelle Liou	chen-Hsin Chen	Ming-Tien Tsai	Yi-Ching Yao	Hwai-Chung Ho	Chi-Lun Cheng	Su-Yun Huang	Hsin-Cheng Huang	Yi-Hau Chen	Shwu-Rong Grace Shieh	I-Ping Tu	Feng-Shun Chai	Tsung-Hsi Tsai	Hsin-Chou Yang	Shin-Sheng Yuan	Ting-Li Chen	Wei-Chung Liu	Hsuan-Yu Chen	Arthur Chih-Hsin Tsai	Chien-Yu Peng	Ci-Ren jiang	Tso-Jung Yen	Hsin-Wen Chang	Yu-Tseng Chu	Wei-Cheng Hsiao	Chih-Yuan Hsu	Yi-Chiung Hsu	Man-Jen Hsu	Shih-Hao Huang	Hsin-I Lee	Bowen Li	Yi-Ran Lin	Chih-Wen Ou-yang	Chun-Hao Pan	Yuh-Chyuan Tsay	Tai-Chi Wang	Chang-Yi Weng	Andrew S. Woolston	Chi-Chuan Yang	Chiao-Yi Yang
Position	999	999	999	999	999	999	999	999	999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Gender	999	999	999	999	999	999	999	999	999	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1
Research Group	999	999	999	999	999	999	999	999	999	0	0	0	2	5	0	0	4	0	3	0	0	0	3	0	0	0	1	3	4	1	2	0	0	4	0	0	0	5	1	0	0	0	0	5	5	0	5	4	4	1	0	0
Advances in Applied Probability	9	5	14	1	352.74	0.829	77	81	46	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0
Aligarh Journal of Statistics	2	0	2	2	20.38	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Journal of Mathematical and Management Sciences	0	1	1	3	1002.5	NA	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Journal of Public Health	4	3	7	4	545.06	4.229	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
American Psychologist	2	0	2	5	1435.49	5.45	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales de I'institut Henri Poincare.Section B: Probabilites et Statistique	3	0	3	6	465.59	0.971	37	37	42	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Human Genetics	5	1	6	7	1233.5	1.926	117	83	96	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of the Institute of Statistical Mathematics	12	9	21	8	1339.63	0.661	148	201	166	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1
Applications of Mathematics	2	4	6	9	2497.93	0.147	33	37	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
