Probe_Set	Phy_position	CPA	chiptype
SNP_A-4295769	14433758	1.0886	chip2
SNP_A-1781681	14441016	0.5451	chip1
SNP_A-1928576	14490036	1.0235	chip1
SNP_A-2314782	15257135	0.6806	chip2
SNP_A-1941632	15258423	0.6969	chip2
SNP_A-4290489	15268900	0.9199	chip2
SNP_A-2151351	15272143	1	chip2
SNP_A-4219868	15274264	1.3227	chip1
SNP_A-4284341	15280134	0.854	chip2
SNP_A-1840046	15317131	1.0395	chip1
SNP_A-1908780	15332978	0.8058	chip1
SNP_A-4201403	15333120	1.0389	chip1
SNP_A-1854151	15370420	0.4932	chip2
SNP_A-4274068	15370526	2.0215	chip2
SNP_A-2276339	15410792	0.9923	chip2
SNP_A-4285196	15411072	1.0585	chip2
SNP_A-4229849	15436022	1.7336	chip1
SNP_A-2113726	15437138	1.3293	chip1
SNP_A-2214998	15445079	1.8204	chip1
SNP_A-2296864	15455353	1.3687	chip1
SNP_A-2174774	15460378	1.1993	chip1
SNP_A-2145794	15467656	1.4307	chip2
SNP_A-4295548	15467705	1.2334	chip2
SNP_A-2256115	15480497	1	chip2
SNP_A-1813743	15481987	0.7765	chip2
SNP_A-4235083	15529033	1.0768	chip1
SNP_A-1792553	15544478	0.8371	chip1
SNP_A-2049082	15551377	1.2128	chip1
SNP_A-2080749	15553913	0.8237	chip1
SNP_A-2287278	15555288	0.817	chip2
SNP_A-1914262	15566728	1	chip1
SNP_A-1860833	15567276	1	chip1
SNP_A-2027961	15567577	1	chip1
SNP_A-1956478	15569132	1	chip1
SNP_A-1970657	15576300	0.6271	chip1
SNP_A-1936806	15618270	1	chip2
SNP_A-2290590	15618335	0.8664	chip2
SNP_A-2288100	15618906	0.5366	chip1
SNP_A-4198761	15638808	0.7881	chip1
SNP_A-2078648	15645194	0.693	chip2
SNP_A-1827561	15653178	2.1085	chip2
SNP_A-2160918	15654435	0.7838	chip1
SNP_A-1837692	15665049	1	chip1
SNP_A-4254411	15679901	1.201	chip2
SNP_A-4290227	15680320	0.6148	chip2
SNP_A-1793134	15685777	4.1167	chip1
SNP_A-2113228	15687742	1.6052	chip1
SNP_A-2076564	15688241	0.9524	chip1
SNP_A-2170885	15689362	0.6292	chip1
SNP_A-2119075	15689517	1.0236	chip1
SNP_A-2267580	15689555	1.111	chip1
SNP_A-2067835	15689881	1	chip1
SNP_A-2090897	15690488	1.8019	chip1
SNP_A-2278614	15693798	2.0014	chip2
SNP_A-4301273	15695458	0.6239	chip2
SNP_A-4250164	15695503	0.513	chip2
SNP_A-1950894	15696313	1	chip2
SNP_A-4284062	15697233	2.464	chip2
SNP_A-1829839	15697346	0.8628	chip2
SNP_A-2192849	15698333	2.1373	chip2
SNP_A-2048803	15698682	1.1976	chip2
SNP_A-1855851	15699156	1	chip1
SNP_A-2159114	15704504	0.8909	chip2
SNP_A-2312038	15706432	1	chip1
SNP_A-4204037	15708627	0.3741	chip1
SNP_A-2166870	15718134	0.7985	chip1
SNP_A-2273864	15727348	0.8674	chip2
SNP_A-2253697	15733947	1	chip1
SNP_A-4248425	15767645	0.5726	chip2
SNP_A-2108162	15775610	0.79	chip1
SNP_A-1837954	15779211	0.5093	chip2
SNP_A-4231891	15783936	1.6833	chip1
SNP_A-2048205	15787349	1.0446	chip2
SNP_A-1860312	15789957	0.6054	chip2
SNP_A-4259639	15790790	1.1075	chip2
SNP_A-2193781	15795490	1	chip1
SNP_A-2041152	15795572	0.6898	chip1
SNP_A-2267102	15808080	1.7172	chip1
SNP_A-2076633	15808815	0.3866	chip1
SNP_A-2307948	15808982	1.4135	chip1
SNP_A-4291520	15814521	1.6553	chip2
SNP_A-4296554	15816846	1.3391	chip2
SNP_A-4209170	15830538	0.987	chip1
SNP_A-2122886	15847474	1	chip2
SNP_A-4224683	15904190	0.7288	chip1
SNP_A-4221729	15904203	0.9025	chip1
SNP_A-4260138	15907495	1.2383	chip2
SNP_A-2289138	15909583	1	chip2
SNP_A-4272092	15910370	1	chip2
SNP_A-4254037	15916555	1	chip2
SNP_A-1970664	15919678	1.2958	chip1
SNP_A-2304593	15921858	1.0765	chip2
SNP_A-2122444	15922650	2.1983	chip2
SNP_A-2175269	15934354	0.5855	chip1
SNP_A-2193065	15941913	1.0397	chip1
SNP_A-2314796	15945013	1	chip2
SNP_A-2050353	15951355	1.2047	chip1
SNP_A-2232452	15962877	1	chip2
SNP_A-2008180	15965808	1.5123	chip2
SNP_A-4263143	15966471	0.891	chip2
SNP_A-2080528	15967680	0.9804	chip1
SNP_A-2244969	15968305	0.6446	chip1
SNP_A-2223378	15969246	0.9489	chip1
SNP_A-2082996	15969297	1	chip1
SNP_A-2192904	15971089	1.2898	chip1
SNP_A-2258561	15975746	1.1824	chip1
SNP_A-4279650	15976178	1.2856	chip2
SNP_A-2175684	15976229	1.1627	chip2
SNP_A-2243070	15976388	0.8659	chip2
SNP_A-2008181	15977297	1.6729	chip2
SNP_A-1823107	15985824	0.914	chip1
SNP_A-2008182	15989825	0.5154	chip1
SNP_A-2098881	15998142	1.1757	chip2
SNP_A-1970668	15998164	0.9204	chip1
SNP_A-1970669	15999076	0.9515	chip2
SNP_A-2270803	16003408	1.002	chip2
SNP_A-1806462	16004072	1.5728	chip2
SNP_A-2105701	16014050	0.4442	chip2
SNP_A-1933079	16024131	1.12	chip1
SNP_A-2107196	16041178	1.7378	chip1
SNP_A-4233790	16049151	0.4467	chip1
SNP_A-4281123	16049306	0.6333	chip2
SNP_A-1949086	16050224	0.843	chip2
SNP_A-2080767	16050256	1.8564	chip2
SNP_A-1870817	16062294	1.2588	chip2
SNP_A-4202548	16078080	1.0533	chip1
SNP_A-2049065	16081234	1.0071	chip1
SNP_A-1938689	16089828	0.976	chip2
SNP_A-2059699	16102024	0.9826	chip2
SNP_A-2126332	16111977	1.1547	chip2
SNP_A-2040902	16118100	1	chip1
SNP_A-1780399	16124553	0.6842	chip1
SNP_A-1881932	16126101	1.5533	chip2
SNP_A-2129149	16126528	1.6065	chip2
SNP_A-1934911	16127195	0.9109	chip2
SNP_A-2056211	16140350	1.2187	chip2
SNP_A-4230660	16148221	1.1738	chip1
SNP_A-2126703	16150181	2.1121	chip1
SNP_A-2202409	16161555	0.7422	chip2
SNP_A-2258167	16162813	0.6436	chip2
SNP_A-2172085	16163945	0.851	chip2
SNP_A-4225019	16169010	1.917	chip1
SNP_A-2030447	16170349	0.8903	chip1
SNP_A-2139660	16172740	0.7519	chip2
SNP_A-1919632	16173012	0.9068	chip2
SNP_A-2271561	16173206	0.6024	chip1
SNP_A-2281610	16179368	1.0997	chip1
SNP_A-2085711	16179387	0.7168	chip1
SNP_A-2072733	16190483	1.1021	chip2
SNP_A-2032713	16205432	0.9967	chip1
SNP_A-1788407	16211813	1.1009	chip2
SNP_A-1866272	16220410	0.8223	chip1
SNP_A-1838657	16224295	0.8176	chip2
SNP_A-1826930	16233714	0.7276	chip2
SNP_A-1914340	16236960	0.9045	chip2
SNP_A-2244333	16246198	0.6201	chip2
SNP_A-2258189	16248536	0.9366	chip2
SNP_A-1970670	16260070	1.6505	chip1
SNP_A-2138004	16263220	0.3918	chip1
SNP_A-2084790	16265697	1.51	chip2
SNP_A-4198531	16268609	0.5403	chip1
SNP_A-2117136	16268891	0.7642	chip1
SNP_A-1829412	16270073	1.1207	chip2
SNP_A-1872925	16270558	0.4867	chip2
SNP_A-2214033	16271078	1.3775	chip1
SNP_A-2034042	16271554	0.9156	chip1
SNP_A-4201454	16279634	2.8148	chip1
SNP_A-2053403	16279841	0.9587	chip1
SNP_A-2132721	16281683	1.0868	chip1
SNP_A-2077831	16282056	3.1335	chip1
SNP_A-2032461	16283330	1.7422	chip2
SNP_A-2188592	16283550	0.6681	chip2
SNP_A-2084412	16284558	0.9136	chip2
SNP_A-1906185	16284959	2.3768	chip1
SNP_A-2268647	16285346	1.1862	chip1
SNP_A-2116760	16288285	1.3476	chip1
SNP_A-1801851	16289524	1.512	chip1
SNP_A-2222664	16292139	2.1022	chip1
SNP_A-4303093	16294004	0.8067	chip2
SNP_A-1970671	16295430	0.8736	chip2
SNP_A-1970672	16300802	1.4164	chip1
SNP_A-2223551	16302735	2.2572	chip2
SNP_A-4277570	16302770	0.7347	chip2
SNP_A-2305677	16310263	1.6987	chip2
SNP_A-2276082	16311483	1.6284	chip2
SNP_A-2264645	16328473	0.6838	chip2
SNP_A-1872545	16328957	1	chip1
SNP_A-2085321	16333360	0.716	chip2
SNP_A-2309528	16333763	1.6439	chip2
SNP_A-1888013	16345843	1.1176	chip1
SNP_A-1970673	16351883	1.3813	chip1
SNP_A-2111989	16357024	1.6923	chip2
SNP_A-2210394	16365560	1.3158	chip2
SNP_A-4282732	16367962	0.7579	chip2
SNP_A-2220036	16370258	1	chip1
SNP_A-2123466	16370606	1.0092	chip2
SNP_A-4298291	16370852	0.5506	chip2
SNP_A-2212376	16377454	1	chip2
SNP_A-2276163	16398604	1.1389	chip2
SNP_A-1881277	16399539	0.9342	chip2
SNP_A-2159655	16400773	0.4812	chip2
SNP_A-2175784	16401505	1.1023	chip1
SNP_A-4291111	16401760	0.7042	chip2
SNP_A-1799886	16407656	1	chip1
SNP_A-2173935	16418910	1.1808	chip2
SNP_A-1970675	16442891	1.1163	chip2
SNP_A-1970676	16442987	0.7491	chip2
SNP_A-1941292	16456523	2.912	chip2
SNP_A-1934174	16459316	0.5474	chip2
SNP_A-2214347	16460154	1.0259	chip2
SNP_A-1930524	16463260	0.8529	chip2
SNP_A-1858950	16471087	0.9373	chip1
SNP_A-4200327	16473592	1.4535	chip1
SNP_A-1780889	16474106	1.5444	chip1
SNP_A-1873668	16474581	2.3936	chip1
SNP_A-1942696	16474915	1.2127	chip1
SNP_A-1914555	16475170	1.1791	chip1
SNP_A-4298476	16480435	0.752	chip2
SNP_A-2141031	16484792	1.4803	chip1
SNP_A-4248887	16486662	0.5934	chip2
SNP_A-2311368	16495277	0.4621	chip2
SNP_A-2140509	16500850	0.8025	chip2
SNP_A-4290288	16508960	0.8519	chip2
SNP_A-1970677	16511078	1	chip2
SNP_A-1961249	16515912	2.0018	chip1
SNP_A-2262384	16533009	1.2402	chip2
SNP_A-2154029	16552236	1.4994	chip1
SNP_A-4228629	16559100	1	chip1
SNP_A-1942519	16563623	0.4687	chip1
SNP_A-4194597	16564169	1.1564	chip1
SNP_A-4285381	16567216	0.9509	chip2
SNP_A-2232330	16569296	0.6594	chip1
SNP_A-1858065	16578327	1.0513	chip1
SNP_A-1946760	16579483	1.6401	chip1
SNP_A-2008184	16590822	1.8687	chip2
SNP_A-2008185	16591205	1.2125	chip2
SNP_A-4301162	16594192	0.6774	chip2
SNP_A-1895465	16594609	2.1667	chip1
