Chip	Mean	Std
Chr01	0.7082	0.4127
Chr02	0.7092	0.4054
Chr03	0.7092	0.4005
Chr04	0.7084	0.3908
Chr05	0.7094	0.4017
Chr06	0.707	0.4025
Chr07	0.7099	0.3992
Chr08	0.7088	0.4042
Chr09	0.7078	0.406
Chr10	0.7045	0.4093
Chr11	0.7068	0.4088
Chr12	0.7095	0.4078
Chr13	0.7107	0.3969
Chr14	0.7081	0.4066
Chr15	0.7139	0.4191
Chr16	0.7088	0.4281
Chr17	0.7051	0.4403
Chr18	0.7059	0.4034
Chr19	0.6937	0.4442
Chr20	0.7085	0.4279
Chr21	0.7004	0.4052
Chr22	0.6961	0.4549
Chr23	0.6787	0.462
Chip1	0.7067	0.4063
Chip2	0.7067	0.4063
Merge	0.7067	0.4063
