Chip	Mean	Std
Chr01	0.8328	0.187
Chr02	0.8316	0.1947
Chr03	0.8365	0.1931
Chr04	0.8351	0.1998
Chr05	0.8326	0.1928
Chr06	0.832	0.1974
Chr07	0.8334	0.1965
Chr08	0.834	0.1929
Chr09	0.8374	0.1913
Chr10	0.8359	0.1845
Chr11	0.8338	0.191
Chr12	0.8342	0.1899
Chr13	0.8313	0.1997
Chr14	0.8294	0.1918
Chr15	0.8365	0.1873
Chr16	0.8377	0.1846
Chr17	0.8378	0.1867
Chr18	0.8356	0.192
Chr19	0.8411	0.1915
Chr20	0.8333	0.1832
Chr21	0.8292	0.1979
Chr22	0.8366	0.1819
Chr23	0.8023	0.2122
Chip1	0.8365	0.2676
Chip2	0.8462	0.2682
Merge	0.833	0.1912
