Chip	Mean	Std
Chr01	0.8997	0.2902
Chr02	0.8992	0.2886
Chr03	0.8994	0.286
Chr04	0.8993	0.2821
Chr05	0.8994	0.2858
Chr06	0.8987	0.2848
Chr07	0.8987	0.2847
Chr08	0.8984	0.2875
Chr09	0.8992	0.2879
Chr10	0.8995	0.2909
Chr11	0.8994	0.2878
Chr12	0.8999	0.2879
Chr13	0.8998	0.2844
Chr14	0.8991	0.2888
Chr15	0.8991	0.2937
Chr16	0.8987	0.2954
Chr17	0.8999	0.2989
Chr18	0.8993	0.2883
Chr19	0.8993	0.2978
Chr20	0.9	0.2976
Chr21	0.8988	0.2843
Chr22	0.8996	0.3114
Chr23	0.9012	0.3096
Chip1	0.8992	0.2882
Chip2	0.8992	0.2882
Merge	0.8992	0.2882
