Chip	Mean	Std
Chr01	0.4068	0.0955
Chr02	0.4044	0.0933
Chr03	0.4104	0.0938
Chr04	0.4091	0.0977
Chr05	0.4093	0.0989
Chr06	0.4082	0.0974
Chr07	0.4041	0.0932
Chr08	0.4098	0.0959
Chr09	0.412	0.0958
Chr10	0.4101	0.0956
Chr11	0.4076	0.0956
Chr12	0.4077	0.0987
Chr13	0.4052	0.0939
Chr14	0.4006	0.098
Chr15	0.4101	0.0929
Chr16	0.4083	0.0988
Chr17	0.4092	0.1023
Chr18	0.4064	0.0926
Chr19	0.4068	0.1048
Chr20	0.4069	0.0964
Chr21	0.3997	0.1011
Chr22	0.4041	0.105
Chr23	0.4059	0.0821
Chip1	0.4105	0.1194
Chip2	0.4166	0.1228
Merge	0.4073	0.0947
