Chip	Mean	Std
Chr01	0.817	0.1092
Chr02	0.818	0.1129
Chr03	0.8203	0.1077
Chr04	0.8183	0.108
Chr05	0.8183	0.1092
Chr06	0.8176	0.1087
Chr07	0.8181	0.1098
Chr08	0.8178	0.1069
Chr09	0.8171	0.1102
Chr10	0.8158	0.11
Chr11	0.8177	0.1068
Chr12	0.817	0.1078
Chr13	0.8179	0.1066
Chr14	0.8185	0.1086
Chr15	0.8183	0.1116
Chr16	0.8189	0.1153
Chr17	0.8197	0.1138
Chr18	0.8195	0.1119
Chr19	0.8203	0.115
Chr20	0.8186	0.108
Chr21	0.8214	0.1091
Chr22	0.8164	0.1146
Chr23	0.8014	0.1013
Chip1	0.8223	0.1364
Chip2	0.8183	0.1517
Merge	0.8176	0.1082
