Chip	Mean	Std
Chr01	0.4698	0.1309
Chr02	0.4697	0.1316
Chr03	0.4696	0.1309
Chr04	0.4695	0.1308
Chr05	0.4698	0.131
Chr06	0.469	0.1305
Chr07	0.4692	0.1303
Chr08	0.4694	0.131
Chr09	0.4698	0.1309
Chr10	0.4692	0.1312
Chr11	0.4697	0.1304
Chr12	0.4701	0.1313
Chr13	0.4698	0.1313
Chr14	0.469	0.1311
Chr15	0.4698	0.1334
Chr16	0.4699	0.1327
Chr17	0.4701	0.1322
Chr18	0.4698	0.1314
Chr19	0.4697	0.1317
Chr20	0.4703	0.1331
Chr21	0.469	0.1296
Chr22	0.4699	0.1359
Chr23	0.472	0.14
Chip1	0.4695	0.131
Chip2	0.4695	0.131
Merge	0.4695	0.131
