Chip	Mean	Std
Chr01	0.5221	0.3355
Chr02	0.5188	0.3259
Chr03	0.5186	0.3228
Chr04	0.5152	0.3175
Chr05	0.5177	0.3225
Chr06	0.5158	0.3174
Chr07	0.518	0.3208
Chr08	0.518	0.3247
Chr09	0.5174	0.3212
Chr10	0.5223	0.332
Chr11	0.5193	0.3243
Chr12	0.5175	0.3223
Chr13	0.516	0.3163
Chr14	0.5195	0.3258
Chr15	0.5225	0.338
Chr16	0.5237	0.3422
Chr17	0.5261	0.3452
Chr18	0.5184	0.3247
Chr19	0.5289	0.35
Chr20	0.5257	0.3422
Chr21	0.5196	0.3257
Chr22	0.5303	0.361
Chr23	0.5503	0.451
Chip1	0.52	0.3301
Chip2	0.52	0.3301
Merge	0.52	0.3301
