Chip	Mean	Std
Chr01	0.8784	0.4163
Chr02	0.8779	0.41
Chr03	0.8778	0.4051
Chr04	0.877	0.4035
Chr05	0.8769	0.4054
Chr06	0.8771	0.4036
Chr07	0.877	0.403
Chr08	0.8765	0.4071
Chr09	0.8775	0.4044
Chr10	0.8782	0.4145
Chr11	0.8774	0.4074
Chr12	0.8772	0.4058
Chr13	0.8773	0.4041
Chr14	0.8777	0.4114
Chr15	0.8778	0.4179
Chr16	0.8783	0.4196
Chr17	0.8782	0.4223
Chr18	0.877	0.4084
Chr19	0.8773	0.422
Chr20	0.8787	0.4233
Chr21	0.8781	0.4075
Chr22	0.878	0.4321
Chr23	0.8691	0.5041
Chip1	0.877	0.4117
Chip2	0.877	0.4117
Merge	0.877	0.4117
