Chip	Mean	Std
Chr01	0.8738	0.3208
Chr02	0.8724	0.3128
Chr03	0.8726	0.3123
Chr04	0.8722	0.3071
Chr05	0.8731	0.3147
Chr06	0.8727	0.3162
Chr07	0.873	0.3126
Chr08	0.8721	0.3153
Chr09	0.8725	0.3152
Chr10	0.8741	0.3224
Chr11	0.8741	0.3191
Chr12	0.8739	0.3196
Chr13	0.8726	0.3114
Chr14	0.8744	0.319
Chr15	0.8725	0.3184
Chr16	0.873	0.3229
Chr17	0.8746	0.3293
Chr18	0.8718	0.3143
Chr19	0.8739	0.3262
Chr20	0.874	0.3262
Chr21	0.8737	0.3168
Chr22	0.8751	0.345
Chr23	0.86	0.3018
Chip1	0.8725	0.3157
Chip2	0.8725	0.3157
Merge	0.8725	0.3157
