Chip	Mean	Std
Chr01	0.4544	0.1263
Chr02	0.4554	0.1259
Chr03	0.4559	0.1256
Chr04	0.4575	0.1249
Chr05	0.4558	0.1257
Chr06	0.4558	0.1253
Chr07	0.4557	0.1258
Chr08	0.455	0.1248
Chr09	0.4553	0.1258
Chr10	0.4545	0.1254
Chr11	0.4548	0.1266
Chr12	0.4553	0.1263
Chr13	0.4569	0.1257
Chr14	0.4552	0.1261
Chr15	0.4539	0.1249
Chr16	0.4519	0.124
Chr17	0.4525	0.1263
Chr18	0.4552	0.1268
Chr19	0.4523	0.1284
Chr20	0.4535	0.1269
Chr21	0.4567	0.1267
Chr22	0.4505	0.127
Chr23	0.4551	0.1244
Chip1	0.4551	0.1254
Chip2	0.4551	0.1254
Merge	0.4551	0.1254
