Chip	Mean	Std
Chr01	0.5074	0.2458
Chr02	0.5026	0.2365
Chr03	0.503	0.2348
Chr04	0.4981	0.2267
Chr05	0.5039	0.2389
Chr06	0.503	0.239
Chr07	0.503	0.2359
Chr08	0.504	0.2398
Chr09	0.5041	0.2389
Chr10	0.5086	0.2477
Chr11	0.5065	0.2443
Chr12	0.505	0.2419
Chr13	0.5012	0.2333
Chr14	0.5068	0.2444
Chr15	0.5064	0.2464
Chr16	0.5102	0.2523
Chr17	0.5158	0.2646
Chr18	0.5034	0.2372
Chr19	0.5147	0.2595
Chr20	0.5127	0.2575
Chr21	0.5048	0.2405
Chr22	0.5213	0.2812
Chr23	0.5104	0.2362
Chip1	0.5052	0.2406
Chip2	0.5052	0.2406
Merge	0.5052	0.2406
