Chip	Mean	Std
Chr01	0.4702	0.1756
Chr02	0.4696	0.1741
Chr03	0.4694	0.1718
Chr04	0.4695	0.1694
Chr05	0.4696	0.1718
Chr06	0.4687	0.17
Chr07	0.4686	0.1701
Chr08	0.4692	0.1738
Chr09	0.4694	0.1732
Chr10	0.4697	0.1757
Chr11	0.4698	0.1741
Chr12	0.4701	0.1727
Chr13	0.47	0.1709
Chr14	0.4692	0.1746
Chr15	0.4698	0.1774
Chr16	0.4699	0.1794
Chr17	0.4703	0.1799
Chr18	0.47	0.1744
Chr19	0.4694	0.1792
Chr20	0.4706	0.1814
Chr21	0.4681	0.1696
Chr22	0.4713	0.1914
Chr23	0.4759	0.2045
Chip1	0.4696	0.174
Chip2	0.4696	0.174
Merge	0.4696	0.174
