Chip	Mean	Std
Chr01	0.8157	0.1601
Chr02	0.8162	0.16
Chr03	0.819	0.1623
Chr04	0.8161	0.1601
Chr05	0.8178	0.1598
Chr06	0.8182	0.1594
Chr07	0.818	0.1586
Chr08	0.8185	0.1647
Chr09	0.8162	0.1608
Chr10	0.8148	0.1615
Chr11	0.8178	0.1597
Chr12	0.8151	0.1601
Chr13	0.8167	0.161
Chr14	0.8173	0.159
Chr15	0.8201	0.1647
Chr16	0.8178	0.1616
Chr17	0.8197	0.1679
Chr18	0.8147	0.1582
Chr19	0.8229	0.168
Chr20	0.8174	0.1627
Chr21	0.8175	0.1597
Chr22	0.8172	0.1749
Chr23	0.8093	0.1539
Chip1	0.8199	0.2102
Chip2	0.8261	0.2543
Merge	0.8169	0.1599
