Chip	Mean	Std
Chr01	0.9023	0.2753
Chr02	0.9031	0.2728
Chr03	0.9036	0.2723
Chr04	0.9048	0.2688
Chr05	0.9036	0.2725
Chr06	0.9035	0.2718
Chr07	0.9035	0.2715
Chr08	0.9031	0.2708
Chr09	0.9033	0.2729
Chr10	0.9021	0.2738
Chr11	0.9027	0.2741
Chr12	0.9031	0.2742
Chr13	0.9043	0.2706
Chr14	0.903	0.2736
Chr15	0.9017	0.2728
Chr16	0.9001	0.274
Chr17	0.9007	0.2788
Chr18	0.903	0.2739
Chr19	0.9004	0.2801
Chr20	0.9017	0.2779
Chr21	0.904	0.2722
Chr22	0.8986	0.2803
Chr23	0.9003	0.273
Chip1	0.9028	0.2726
Chip2	0.9028	0.2726
Merge	0.9028	0.2726
