Chip	Mean	Std
Chr01	0.3906	0.0439
Chr02	0.392	0.0451
Chr03	0.3938	0.0463
Chr04	0.3929	0.0469
Chr05	0.3915	0.0456
Chr06	0.3934	0.046
Chr07	0.391	0.0458
Chr08	0.392	0.0459
Chr09	0.3904	0.0456
Chr10	0.3899	0.0445
Chr11	0.3907	0.0448
Chr12	0.3903	0.045
Chr13	0.3931	0.047
Chr14	0.3913	0.046
Chr15	0.3913	0.0455
Chr16	0.3909	0.0444
Chr17	0.3898	0.0442
Chr18	0.3916	0.0455
Chr19	0.3922	0.0452
Chr20	0.3882	0.0452
Chr21	0.3922	0.0471
Chr22	0.3861	0.0458
Chr23	0.395	0.0448
Chip1	0.3999	0.0677
Chip2	0.3891	0.0617
Merge	0.3915	0.0448
