Chip	Mean	Std
Chr01	0.8752	0.5344
Chr02	0.8741	0.5407
Chr03	0.8745	0.5367
Chr04	0.8728	0.5376
Chr05	0.8741	0.5337
Chr06	0.8738	0.5309
Chr07	0.8728	0.5326
Chr08	0.8728	0.5364
Chr09	0.8742	0.5342
Chr10	0.8738	0.5324
Chr11	0.875	0.5293
Chr12	0.8741	0.5323
Chr13	0.8737	0.5382
Chr14	0.8735	0.5303
Chr15	0.8749	0.5302
Chr16	0.8756	0.5293
Chr17	0.8768	0.5311
Chr18	0.8744	0.5407
Chr19	0.8739	0.5154
Chr20	0.8758	0.5311
Chr21	0.8745	0.5187
Chr22	0.878	0.5393
Chr23	0.8778	0.5515
Chip1	0.8742	0.5336
Chip2	0.8742	0.5336
Merge	0.8742	0.5336
