Probe_Set	Phy_position	CPA	chiptype
SNP_A-1713638	19208413	0.4683	chip2
SNP_A-1695161	19841990	1.3597	chip2
SNP_A-1711003	19852603	1.4514	chip1
SNP_A-1711181	19852668	1.6406	chip1
SNP_A-1711417	19852868	0.7074	chip1
SNP_A-1714692	19855501	0.955	chip1
SNP_A-1717755	19915944	0.5913	chip2
SNP_A-1687995	19943075	1.4416	chip1
SNP_A-1713834	19988127	1.6712	chip2
SNP_A-1729906	19989036	1.5238	chip2
SNP_A-1651282	20554844	0.9965	chip2
SNP_A-1687256	20555858	1.15	chip2
SNP_A-1672026	20556334	0.8779	chip2
SNP_A-1659920	20556643	0.594	chip2
SNP_A-1680158	20567999	0.6523	chip2
SNP_A-1642713	20592297	1.1038	chip2
SNP_A-1659576	20689912	0.9205	chip2
SNP_A-1677486	21301783	0.9356	chip2
SNP_A-1669336	21306806	1.0524	chip1
SNP_A-1671133	21419154	1.0971	chip1
SNP_A-1674900	21446060	0.8373	chip1
SNP_A-1709351	21459780	1.5643	chip2
SNP_A-1756282	21490270	1.0058	chip2
SNP_A-1692266	21575498	0.3522	chip2
SNP_A-1659962	21588002	1	chip1
SNP_A-1736803	21597620	2.4914	chip2
SNP_A-1741383	21597810	1.1581	chip2
SNP_A-1660963	21598281	1.1192	chip2
SNP_A-1665215	21601298	0.9773	chip1
SNP_A-1647372	21646501	1.5263	chip2
SNP_A-1717976	21657901	0.7943	chip1
SNP_A-1738783	21661869	0.8088	chip2
SNP_A-1751313	21674230	0.8386	chip2
SNP_A-1656000	21719148	1.5471	chip1
SNP_A-1716932	21802661	0.7799	chip1
SNP_A-1717108	21802980	1.1052	chip1
SNP_A-1734992	21855619	0.8331	chip2
SNP_A-1668262	21855703	0.8258	chip2
SNP_A-1729746	21855761	0.7127	chip2
SNP_A-1719069	21855811	1.1489	chip2
SNP_A-1653049	21873512	1.1652	chip1
SNP_A-1721109	21904433	0.8869	chip2
SNP_A-1663443	22065713	1.3339	chip1
SNP_A-1741311	22083695	0.9961	chip2
SNP_A-1668561	22085600	1	chip1
SNP_A-1657527	22151418	0.5025	chip1
SNP_A-1709694	22520553	1.1067	chip1
SNP_A-1708725	22527215	0.7748	chip2
SNP_A-1651467	22629682	0.5989	chip1
SNP_A-1651579	22629776	1.4981	chip1
SNP_A-1651739	22629880	0.7201	chip1
SNP_A-1685896	22678160	1.301	chip2
SNP_A-1700595	22705973	0.8757	chip1
SNP_A-1723320	22761313	0.7645	chip2
SNP_A-1738853	22762706	0.7316	chip2
SNP_A-1754842	22792040	0.5965	chip2
SNP_A-1724573	23122733	1.2381	chip1
SNP_A-1677172	23139455	0.6838	chip2
SNP_A-1754274	23139577	1.3237	chip2
SNP_A-1650043	23153194	2.0318	chip1
SNP_A-1653802	23169072	0.6037	chip2
SNP_A-1655054	23199211	1.0353	chip1
SNP_A-1658661	23250918	0.9521	chip1
SNP_A-1664223	23295536	0.9147	chip1
SNP_A-1704076	23304574	1.3214	chip1
SNP_A-1750583	23325274	0.621	chip2
SNP_A-1713251	23325315	0.8096	chip2
SNP_A-1709293	23325370	1.2325	chip2
SNP_A-1672598	23325412	0.4834	chip2
SNP_A-1711271	23338712	1.3853	chip1
SNP_A-1713322	23365544	1.382	chip1
SNP_A-1684522	23387069	0.7298	chip2
SNP_A-1716265	23395244	1.2524	chip2
SNP_A-1677814	23395573	1.0357	chip2
SNP_A-1642272	23395922	0.7801	chip1
SNP_A-1656749	23560464	1.005	chip2
SNP_A-1677374	23582037	0.8375	chip2
SNP_A-1656551	23665751	0.4703	chip2
SNP_A-1700485	23688680	2.0432	chip1
SNP_A-1753381	23754928	0.7098	chip2
SNP_A-1646672	23867899	1.089	chip2
SNP_A-1670463	23878559	0.5594	chip1
SNP_A-1710310	23893833	1.1509	chip1
SNP_A-1652025	23979581	1.7172	chip1
SNP_A-1657172	24004685	1.0153	chip1
SNP_A-1739633	24006364	1.8721	chip2
SNP_A-1708745	24083426	0.7516	chip2
SNP_A-1753891	24165903	0.6189	chip2
SNP_A-1709420	24172593	0.6382	chip1
SNP_A-1701543	24175402	0.6003	chip2
SNP_A-1747849	24175462	0.9732	chip2
SNP_A-1747013	24175622	0.8483	chip2
SNP_A-1741201	24175677	1.6832	chip2
SNP_A-1685980	24186704	0.7508	chip2
SNP_A-1747917	24187463	0.7707	chip2
SNP_A-1738873	24187529	0.9289	chip2
SNP_A-1643945	24232763	1.2156	chip1
SNP_A-1644063	24232941	1.3313	chip1
SNP_A-1649935	24272180	2.2944	chip1
SNP_A-1729418	24336592	1.7266	chip2
SNP_A-1705542	24374497	0.887	chip1
SNP_A-1708936	24384306	0.6854	chip1
SNP_A-1709052	24385005	0.8709	chip1
SNP_A-1752570	24418502	0.8909	chip1
SNP_A-1754349	24428917	1.0556	chip1
SNP_A-1687241	24484827	0.9333	chip1
SNP_A-1658122	24495712	1.1717	chip2
SNP_A-1699342	24526963	0.6644	chip1
SNP_A-1691130	24534943	1.613	chip2
SNP_A-1665394	24737820	1.1563	chip2
SNP_A-1747882	24764958	1.4108	chip1
SNP_A-1643698	24768832	1.0093	chip2
SNP_A-1705841	24833656	1.5015	chip2
SNP_A-1652622	24845173	1.4877	chip2
SNP_A-1680937	24853171	0.9997	chip1
SNP_A-1682663	24859365	1.9419	chip1
SNP_A-1683047	24861760	1.2067	chip1
SNP_A-1683161	24862190	1.2883	chip1
SNP_A-1700211	24871590	0.7167	chip2
SNP_A-1721197	24872977	1.6912	chip2
SNP_A-1747561	24899737	0.803	chip2
SNP_A-1697799	24899817	1.2132	chip2
SNP_A-1753703	24899931	0.8693	chip2
SNP_A-1670105	24900185	1.0874	chip2
SNP_A-1707714	24902890	0.6915	chip1
SNP_A-1709738	24913908	1.3554	chip1
SNP_A-1718306	24992741	1.1205	chip1
SNP_A-1755362	25000416	0.7213	chip2
SNP_A-1672618	25006309	0.6774	chip2
SNP_A-1667316	25039127	1.1413	chip2
SNP_A-1673364	25040185	0.9975	chip2
SNP_A-1651015	25043237	1.1589	chip1
SNP_A-1713265	25430180	1.2686	chip2
SNP_A-1727689	25430569	1.0688	chip2
SNP_A-1670422	25441728	0.9867	chip2
SNP_A-1690082	25517776	0.6944	chip1
SNP_A-1653624	25539791	1.0129	chip2
SNP_A-1752715	25540093	0.9967	chip2
SNP_A-1667760	25545570	0.6741	chip2
SNP_A-1754841	25605906	1.1755	chip1
SNP_A-1717591	25643714	0.8762	chip2
SNP_A-1742393	25644548	1.343	chip2
SNP_A-1691039	25669108	1.8131	chip1
SNP_A-1708837	25727373	1.2494	chip2
SNP_A-1744746	25745823	1.0461	chip1
SNP_A-1750326	25761042	1.3454	chip1
SNP_A-1758538	25774538	0.9257	chip2
SNP_A-1644720	25774732	0.5578	chip2
SNP_A-1747439	25888354	1.1959	chip2
SNP_A-1678390	25947855	0.9922	chip2
SNP_A-1686492	25948580	0.8521	chip2
SNP_A-1715472	26237007	1.4834	chip1
SNP_A-1751496	27061851	0.9714	chip1
SNP_A-1754631	27075712	1.0205	chip1
SNP_A-1651515	27147693	0.7246	chip1
SNP_A-1722848	27197870	1.097	chip2
SNP_A-1643070	27327709	0.3953	chip1
SNP_A-1643408	27330247	1.6669	chip1
SNP_A-1643498	27330269	0.9535	chip1
SNP_A-1643639	27330404	1.0499	chip1
SNP_A-1681565	27330484	0.5789	chip1
SNP_A-1694054	27377574	0.9185	chip1
SNP_A-1694182	27378426	0.6441	chip1
SNP_A-1695716	27381829	1.509	chip1
SNP_A-1704905	27390295	1.6416	chip2
SNP_A-1746588	27441289	1.296	chip1
SNP_A-1689994	27516240	1.1576	chip1
SNP_A-1690116	27516328	0.8274	chip1
SNP_A-1702134	27516355	1.519	chip1
SNP_A-1705912	27534051	1	chip1
SNP_A-1647952	27654339	0.8267	chip2
SNP_A-1758768	27654486	1.2458	chip2
SNP_A-1742059	27694041	0.5579	chip2
SNP_A-1652809	27717103	0.8015	chip1
SNP_A-1694690	27766632	0.6805	chip1
SNP_A-1710276	27837050	0.9728	chip1
SNP_A-1643167	27888531	1.3485	chip2
SNP_A-1643497	27928636	0.573	chip2
SNP_A-1715239	27929698	0.9615	chip2
SNP_A-1644649	27944249	0.7493	chip1
SNP_A-1740804	28026287	0.6279	chip1
SNP_A-1740912	28026381	0.6024	chip1
SNP_A-1755066	28055234	1.1592	chip2
SNP_A-1746121	28069471	1.3037	chip1
SNP_A-1747502	28069811	1.2	chip1
SNP_A-1751570	28085050	2.0995	chip1
SNP_A-1719655	28115352	1.7036	chip2
SNP_A-1732430	28800086	0.8793	chip1
SNP_A-1692893	28869192	1.9076	chip1
SNP_A-1644596	28890187	1.0133	chip2
SNP_A-1747168	28912015	1	chip1
SNP_A-1729037	29044272	1.5558	chip2
SNP_A-1730625	29054439	0.6664	chip2
SNP_A-1678704	29059962	1.4338	chip2
SNP_A-1690728	29081946	1.0042	chip1
SNP_A-1676230	29109167	0.908	chip2
SNP_A-1724402	29111823	0.8951	chip2
SNP_A-1645424	29169167	0.8276	chip2
SNP_A-1728567	29227096	1.0647	chip2
SNP_A-1731103	29528508	1.642	chip2
SNP_A-1676285	29587441	0.3972	chip1
SNP_A-1650822	29643696	1.6267	chip2
SNP_A-1722463	29646927	1.4051	chip1
SNP_A-1723791	29651252	1.0389	chip1
SNP_A-1723901	29652894	0.7571	chip1
SNP_A-1723981	29653110	1.1217	chip1
SNP_A-1707287	29741753	0.6279	chip2
SNP_A-1665263	29769803	1.5935	chip1
SNP_A-1673869	29817989	0.5793	chip1
SNP_A-1691853	29864685	1.2014	chip1
SNP_A-1694359	29921270	1.186	chip2
SNP_A-1743674	29975287	1.1438	chip1
SNP_A-1747258	29997162	0.8172	chip1
SNP_A-1749456	30014498	1.0779	chip1
SNP_A-1749532	30015005	1.2762	chip1
SNP_A-1708448	30016646	1.0642	chip2
SNP_A-1753098	30037447	1.028	chip1
SNP_A-1690937	30136223	1.6071	chip1
SNP_A-1741434	30291978	1	chip1
SNP_A-1728990	30755131	2.3039	chip1
SNP_A-1729101	30755172	1.3594	chip1
SNP_A-1729445	30756222	1	chip1
SNP_A-1730684	30756749	0.7756	chip1
SNP_A-1671192	30803770	1.1513	chip2
SNP_A-1690269	30827888	1.4914	chip2
SNP_A-1712137	30828074	0.8132	chip2
SNP_A-1654543	30843933	1.2558	chip2
SNP_A-1680707	30848487	0.9491	chip1
SNP_A-1680877	30849015	0.5936	chip1
SNP_A-1680971	30849051	1.589	chip1
SNP_A-1681069	30849208	0.6363	chip1
SNP_A-1723137	30852603	0.7895	chip1
SNP_A-1723251	30852891	1.4848	chip1
SNP_A-1723361	30852937	0.683	chip1
SNP_A-1723523	30853262	1.4193	chip1
SNP_A-1732256	30878573	1.364	chip1
SNP_A-1733885	30878909	1.0312	chip1
SNP_A-1733993	30878974	0.7844	chip1
SNP_A-1661515	30896607	1.668	chip1
SNP_A-1651046	30896973	0.9628	chip2
SNP_A-1755738	30897246	0.7643	chip2
SNP_A-1670252	30919517	0.6104	chip1
SNP_A-1670370	30919911	0.7396	chip1
SNP_A-1713488	30935499	1.0163	chip2
SNP_A-1696080	30937185	0.8263	chip2
SNP_A-1692770	30938143	1.0829	chip2
SNP_A-1697174	30938654	1.0131	chip2
SNP_A-1700865	30938702	1.1049	chip2
SNP_A-1734008	30938780	1.1948	chip2
SNP_A-1702615	30939107	0.9921	chip2
SNP_A-1717180	30942189	1.0725	chip1
SNP_A-1745942	30955122	1.0603	chip2
SNP_A-1722903	30958664	0.8922	chip1
SNP_A-1726871	30968056	0.7954	chip1
SNP_A-1713974	30985557	0.8342	chip2
SNP_A-1667734	30986220	2.6748	chip2
SNP_A-1696504	30986441	0.6843	chip2
SNP_A-1746928	30989717	1.3274	chip1
SNP_A-1747446	30992716	0.8925	chip1
SNP_A-1733218	31003258	0.938	chip2
SNP_A-1664940	31046335	0.8241	chip2
SNP_A-1714803	31046945	0.6287	chip2
SNP_A-1652624	31047144	0.9694	chip2
SNP_A-1741719	31051493	0.6822	chip2
SNP_A-1667360	31051600	1.9928	chip2
SNP_A-1685489	31057662	0.6588	chip1
SNP_A-1734427	31093852	0.6222	chip1
SNP_A-1734553	31094034	0.9162	chip1
SNP_A-1734831	31094745	1.4518	chip1
SNP_A-1736234	31095713	0.7675	chip1
SNP_A-1744750	31105892	1.2727	chip1
SNP_A-1746489	31107855	1.0217	chip1
SNP_A-1748316	31109924	0.6649	chip1
SNP_A-1757365	31126382	1.2123	chip2
SNP_A-1685229	31149938	0.6579	chip1
SNP_A-1686521	31150086	1.4539	chip1
SNP_A-1754794	31169576	1.0209	chip2
SNP_A-1741765	31169949	1.1893	chip2
SNP_A-1730842	31173591	1.3525	chip1
SNP_A-1734317	31180198	0.7436	chip1
SNP_A-1735716	31180802	0.5138	chip1
SNP_A-1732710	31201568	0.693	chip2
SNP_A-1715389	31201758	0.8526	chip2
SNP_A-1726646	31202466	1.5629	chip2
SNP_A-1679286	31202621	0.8697	chip2
SNP_A-1716663	31203105	0.6695	chip2
SNP_A-1670164	31204365	1.0673	chip1
SNP_A-1670543	31204650	1.2696	chip1
SNP_A-1672209	31205334	1.1173	chip1
SNP_A-1672379	31206626	1.3842	chip1
SNP_A-1672563	31206769	1.6165	chip1
SNP_A-1672719	31206843	0.5183	chip1
SNP_A-1674011	31207071	1.0674	chip1
SNP_A-1654379	31214059	0.4602	chip2
SNP_A-1689194	31234442	0.6584	chip2
SNP_A-1730387	31248258	1.0422	chip2
SNP_A-1703305	31248299	1.3358	chip2
SNP_A-1730181	31254131	1.2802	chip1
SNP_A-1658448	31271494	0.9779	chip2
SNP_A-1668164	31271629	0.9056	chip2
SNP_A-1659291	31293786	1.9447	chip1
SNP_A-1717621	31307345	0.8501	chip2
SNP_A-1664417	31324806	1.4012	chip1
SNP_A-1664513	31325394	0.6022	chip1
SNP_A-1671599	31343094	0.9556	chip1
SNP_A-1676064	31373194	1.4218	chip2
SNP_A-1715212	31374991	1.0004	chip1
SNP_A-1676570	31377940	1.128	chip2
SNP_A-1717198	31379193	1.3854	chip1
SNP_A-1648179	31423559	1.061	chip1
SNP_A-1648795	31431890	1.2465	chip1
SNP_A-1650093	31433620	0.7568	chip1
SNP_A-1693353	31449470	1.013	chip2
SNP_A-1705187	31456613	0.9311	chip2
SNP_A-1680135	31499690	1.5601	chip1
SNP_A-1732721	31555826	1.1524	chip1
SNP_A-1732845	31555914	2.0759	chip1
SNP_A-1732953	31556181	0.5984	chip1
SNP_A-1654849	31564997	0.869	chip2
SNP_A-1666270	31572775	1.0753	chip2
SNP_A-1746433	31592202	0.852	chip1
SNP_A-1670621	31609007	0.9198	chip1
SNP_A-1674194	31619712	1.2214	chip1
SNP_A-1676395	31626952	1.6328	chip1
SNP_A-1677625	31627317	1.2372	chip1
SNP_A-1678245	31629095	0.6733	chip1
SNP_A-1678357	31629248	0.8757	chip1
SNP_A-1679731	31629552	1.571	chip1
SNP_A-1685278	31639829	1.6916	chip2
SNP_A-1734187	31661043	0.782	chip1
SNP_A-1661587	31681787	0.6723	chip1
SNP_A-1661701	31681818	0.9455	chip1
SNP_A-1663223	31684497	0.8184	chip1
SNP_A-1663353	31685021	1.1608	chip1
SNP_A-1663563	31686368	0.6715	chip1
SNP_A-1663741	31686963	0.7721	chip1
SNP_A-1666903	31695142	0.8955	chip1
SNP_A-1667001	31695246	0.4983	chip1
SNP_A-1667125	31695310	1.0047	chip1
SNP_A-1667323	31695608	0.9368	chip1
SNP_A-1667427	31695911	0.706	chip1
SNP_A-1693232	31700569	0.7521	chip2
SNP_A-1724144	31705234	0.8912	chip2
SNP_A-1690787	31706082	1.2307	chip2
SNP_A-1733320	31731603	1.5834	chip2
SNP_A-1758824	31737586	0.4573	chip2
SNP_A-1719852	31744649	1.9573	chip1
SNP_A-1719976	31744674	1.4103	chip1
SNP_A-1755340	31750983	1.1299	chip2
SNP_A-1662274	31757528	0.8827	chip2
SNP_A-1654943	31759218	0.6537	chip2
SNP_A-1757942	31759799	1.1667	chip2
SNP_A-1725339	31773350	1.6707	chip1
SNP_A-1732282	31792581	1.0428	chip1
SNP_A-1654644	31797707	1.0356	chip1
SNP_A-1654814	31800997	0.807	chip1
SNP_A-1703815	31804346	1.678	chip2
SNP_A-1658702	31805079	1.4914	chip2
SNP_A-1659691	31810252	1.0496	chip1
SNP_A-1664829	31828157	1.2299	chip1
SNP_A-1648818	31828613	1.0789	chip2
SNP_A-1731459	31828992	1.1975	chip2
SNP_A-1666662	31829010	0.8059	chip2
SNP_A-1708529	31858597	0.5465	chip1
SNP_A-1708634	31858853	1.1604	chip1
SNP_A-1690219	31862443	1.5705	chip2
SNP_A-1678642	31863494	0.9919	chip2
SNP_A-1703277	31863934	0.8767	chip2
SNP_A-1697751	31864956	0.6428	chip2
SNP_A-1724857	31920422	1.054	chip1
SNP_A-1647043	31923657	0.6147	chip1
SNP_A-1647389	31926584	1.5338	chip1
SNP_A-1688382	31926853	1.4785	chip2
SNP_A-1750405	31928027	1.0609	chip2
SNP_A-1655778	31955408	0.5515	chip1
SNP_A-1695415	31961358	0.5754	chip2
SNP_A-1746236	31962532	0.7687	chip2
SNP_A-1664550	31962628	1.0642	chip2
SNP_A-1709851	31963962	1.6859	chip2
SNP_A-1651794	31964079	1.2402	chip2
SNP_A-1757948	31964180	0.713	chip2
SNP_A-1709904	32002967	0.7963	chip1
SNP_A-1679992	32007977	1.3628	chip2
