Chip	Mean	Std
Chr01	0.8492	0.301
Chr02	0.8476	0.3023
Chr03	0.8523	0.297
Chr04	0.8489	0.2987
Chr05	0.8508	0.3037
Chr06	0.8506	0.3021
Chr07	0.8506	0.3055
Chr08	0.8495	0.3038
Chr09	0.855	0.2997
Chr10	0.8506	0.3017
Chr11	0.8504	0.3073
Chr12	0.8521	0.3028
Chr13	0.8468	0.3053
Chr14	0.8462	0.301
Chr15	0.8501	0.3028
Chr16	0.8514	0.2978
Chr17	0.8526	0.305
Chr18	0.8483	0.2956
Chr19	0.8621	0.3013
Chr20	0.8498	0.3109
Chr21	0.8431	0.2991
Chr22	0.8616	0.3354
Chr23	0.8181	0.3052
Chip1	0.8595	0.3883
Chip2	0.8588	0.3628
Merge	0.8491	0.3004
