Chip	Mean	Std
Chr01	0.9019	0.2367
Chr02	0.9013	0.2377
Chr03	0.9019	0.2378
Chr04	0.901	0.2372
Chr05	0.9019	0.2373
Chr06	0.9015	0.2373
Chr07	0.9014	0.2361
Chr08	0.9012	0.2365
Chr09	0.9023	0.2368
Chr10	0.9018	0.237
Chr11	0.902	0.2361
Chr12	0.9025	0.2375
Chr13	0.9021	0.2379
Chr14	0.9015	0.2367
Chr15	0.9022	0.2399
Chr16	0.902	0.2374
Chr17	0.9028	0.238
Chr18	0.9016	0.2374
Chr19	0.9026	0.2344
Chr20	0.9032	0.2387
Chr21	0.9022	0.2349
Chr22	0.9023	0.2415
Chr23	0.9005	0.2502
Chip1	0.9017	0.2368
Chip2	0.9017	0.2368
Merge	0.9017	0.2368
