Chip	Mean	Std
Chr01	0.8535	0.1765
Chr02	0.8518	0.1816
Chr03	0.8572	0.1776
Chr04	0.8535	0.1796
Chr05	0.8566	0.174
Chr06	0.8549	0.1736
Chr07	0.8544	0.1726
Chr08	0.8569	0.1745
Chr09	0.8567	0.1775
Chr10	0.859	0.1776
Chr11	0.8542	0.1871
Chr12	0.8538	0.1898
Chr13	0.8526	0.1777
Chr14	0.8546	0.1796
Chr15	0.8554	0.1849
Chr16	0.8572	0.1775
Chr17	0.8549	0.1813
Chr18	0.8513	0.1782
Chr19	0.8603	0.1968
Chr20	0.8548	0.1777
Chr21	0.8576	0.1845
Chr22	0.8645	0.1561
Chr23	0.8217	0.1836
Chip1	0.8549	0.1796
Chip2	0.8598	0.3019
Merge	0.8541	0.1764
