Chip	Mean	Std
Chr01	0.4071	0.0585
Chr02	0.406	0.0586
Chr03	0.4123	0.0614
Chr04	0.412	0.0601
Chr05	0.4087	0.0592
Chr06	0.4107	0.0579
Chr07	0.4064	0.0576
Chr08	0.4106	0.0573
Chr09	0.4083	0.0594
Chr10	0.4098	0.0599
Chr11	0.4108	0.0609
Chr12	0.4132	0.06
Chr13	0.4075	0.0602
Chr14	0.4058	0.0566
Chr15	0.4146	0.0592
Chr16	0.411	0.0645
Chr17	0.4126	0.06
Chr18	0.4106	0.0647
Chr19	0.4081	0.0674
Chr20	0.4092	0.061
Chr21	0.4044	0.0613
Chr22	0.4091	0.0586
Chr23	0.4192	0.0554
Chip1	0.4254	0.0888
Chip2	0.4136	0.1257
Merge	0.4094	0.058
