Chip	Mean	Std
Chr01	0.2241	0.0713
Chr02	0.2251	0.071
Chr03	0.2247	0.07
Chr04	0.223	0.068
Chr05	0.2246	0.07
Chr06	0.2226	0.0685
Chr07	0.2264	0.0703
Chr08	0.2251	0.0696
Chr09	0.2224	0.0709
Chr10	0.2209	0.0687
Chr11	0.2226	0.0702
Chr12	0.2249	0.0713
Chr13	0.2255	0.0694
Chr14	0.2231	0.0695
Chr15	0.2296	0.0764
Chr16	0.227	0.0765
Chr17	0.2216	0.0788
Chr18	0.2207	0.0701
Chr19	0.2101	0.0778
Chr20	0.2247	0.076
Chr21	0.2152	0.0689
Chr22	0.2135	0.0813
Chr23	0.1909	0.0601
Chip1	0.2224	0.0696
Chip2	0.2224	0.0696
Merge	0.2224	0.0696
