Chip	Mean	Std
Chr01	0.3876	0.0442
Chr02	0.3887	0.0477
Chr03	0.3915	0.0469
Chr04	0.3893	0.0465
Chr05	0.3895	0.0449
Chr06	0.3904	0.0458
Chr07	0.3882	0.0449
Chr08	0.3891	0.0455
Chr09	0.3883	0.0465
Chr10	0.3868	0.0449
Chr11	0.3862	0.0449
Chr12	0.3849	0.0474
Chr13	0.3904	0.0467
Chr14	0.3903	0.0473
Chr15	0.3881	0.0463
Chr16	0.3884	0.0457
Chr17	0.3918	0.0466
Chr18	0.3894	0.0467
Chr19	0.3964	0.0447
Chr20	0.3866	0.0448
Chr21	0.3873	0.0465
Chr22	0.3829	0.0457
Chr23	0.4005	0.0498
Chip1	0.3964	0.0715
Chip2	0.3895	0.0726
Merge	0.3888	0.0451
