Chip	Mean	Std
Chr01	0.4042	0.0736
Chr02	0.4068	0.0761
Chr03	0.4112	0.0776
Chr04	0.411	0.0794
Chr05	0.4076	0.0762
Chr06	0.4048	0.0763
Chr07	0.4079	0.0771
Chr08	0.4095	0.0757
Chr09	0.4131	0.0785
Chr10	0.4107	0.0739
Chr11	0.4073	0.0748
Chr12	0.408	0.0759
Chr13	0.404	0.0785
Chr14	0.4023	0.0761
Chr15	0.4107	0.0755
Chr16	0.4122	0.0802
Chr17	0.4123	0.0783
Chr18	0.4121	0.0786
Chr19	0.4174	0.0863
Chr20	0.4069	0.0748
Chr21	0.3975	0.0789
Chr22	0.4152	0.0842
Chr23	0.3799	0.0718
Chip1	0.409	0.1112
Chip2	0.4212	0.1147
Merge	0.4073	0.0753
