Chip	Mean	Std
Chr01	0.508	0.3988
Chr02	0.5068	0.4044
Chr03	0.5053	0.3999
Chr04	0.5003	0.3975
Chr05	0.5041	0.3948
Chr06	0.503	0.3914
Chr07	0.5025	0.3949
Chr08	0.5041	0.3984
Chr09	0.5059	0.3987
Chr10	0.5076	0.3971
Chr11	0.5075	0.3945
Chr12	0.5061	0.3964
Chr13	0.5007	0.3973
Chr14	0.5054	0.3928
Chr15	0.5094	0.3987
Chr16	0.5119	0.3992
Chr17	0.5163	0.4042
Chr18	0.5067	0.4047
Chr19	0.5126	0.3932
Chr20	0.5125	0.3991
Chr21	0.5033	0.3836
Chr22	0.5222	0.4157
Chr23	0.5239	0.4474
Chip1	0.5065	0.3986
Chip2	0.5065	0.3986
Merge	0.5065	0.3986
